Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9722166_2	SRR9722166_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83693.0	20.9 Mbp	0.0	35-251	50.0	6.693510807355454	250.86995328163647	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722167_1	SRR9722167_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78060.0	19.5 Mbp	0.0	242-251	52.0	4.084037919549065	250.96734563156545	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722167_2	SRR9722167_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78060.0	19.5 Mbp	0.0	246-251	50.0	6.046630796822957	250.9375736612862	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722168_1	SRR9722168_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139229.0	34.9 Mbp	0.0	247-251	52.0	3.7851309712775354	250.96956093917217	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722168_2	SRR9722168_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	139229.0	34.9 Mbp	0.0	247-251	50.0	5.807698108870997	250.93886331152274	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722169_1	SRR9722169_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82729.0	20.7 Mbp	0.0	61-251	52.0	4.295954260295664	250.95575916546798	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722169_2	SRR9722169_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82729.0	20.7 Mbp	0.0	42-251	50.0	6.934690374596575	250.91076889603403	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722170_1	SRR9722170_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93217.0	23.3 Mbp	0.0	38-251	54.0	3.3963761974747095	250.89508351480953	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722170_2	SRR9722170_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93217.0	23.3 Mbp	0.0	38-251	51.0	5.6223650192561445	250.71246661016767	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722171_1	SRR9722171_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130975.0	32.8 Mbp	0.0	38-251	53.0	4.378698224852071	250.94649360564992	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722171_2	SRR9722171_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130975.0	32.8 Mbp	0.0	38-251	51.0	7.523573200992556	250.8300286314182	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR9722172_1	SRR9722172_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106224.0	26.6 Mbp	0.0	38-251	52.0	4.861424913390571	250.96005610784758	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
